subject;palette;user_answer;time;ref;left;right;true_answer;correct;incorrect;baseline;luminance_left;luminance_right;luminance_total;luminance_diff;lab_left;lab_right;lab_total;lab_diff;ucs_left;ucs_right;ucs_total;ucs_diff;name_left;name_right;name_total;name_diff;sal_left;sal_right;sal_ref;create_time
59ab5b0b6592220933cba933;magma;a;980;0.5;0.45;0.6;a;true;0;0.05;4.580;8.781;13.361;4.201;11.700;25.579;37.203;13.879;7.462;13.946;21.308;6.484;0.153;0.421;0.847;0.268;0.356;0.381;0.254;Sat Sep 02 2017 18:32:08 GMT-0700 (PDT)
59ab5b0b6592220933cba933;magma;a;925;0.4;0.2;0.5;b;false;1;0.10;17.843;9.000;26.844;8.843;27.857;22.009;49.115;5.848;27.658;14.763;41.805;12.895;0.067;0.288;0.372;-0.221;0.326;0.254;0.565;Sat Sep 02 2017 18:32:09 GMT-0700 (PDT)
59ab5b0b6592220933cba933;magma;a;10143;0.6;0.2;0.8;b;false;1;0.20;35.624;20.900;56.524;14.724;73.783;43.995;104.435;29.788;54.592;27.395;72.102;27.197;0.987;0.824;1.000;0.163;0.326;0.404;0.381;Sat Sep 02 2017 18:32:19 GMT-0700 (PDT)
59ab5b0b6592220933cba933;magma;a;879;0.8;0.75;0.9;a;true;0;0.05;5.095;11.719;16.814;6.624;10.935;25.057;35.882;14.122;6.580;14.684;21.230;8.104;0.080;0.241;0.468;0.161;0.332;0.288;0.404;Sat Sep 02 2017 18:32:20 GMT-0700 (PDT)
59ab5b0b6592220933cba933;magma;a;1631;0.1;0;0.15;b;false;1;0.05;6.507;5.905;12.412;0.602;28.986;18.068;46.783;10.918;14.215;7.253;21.441;6.962;0.712;0.182;0.947;0.530;0.844;0.260;0.353;Sat Sep 02 2017 18:32:23 GMT-0700 (PDT)
59ab5b0b6592220933cba933;magma;a;2288;0.4;0.35;0.5;a;true;0;0.05;4.326;9.000;13.327;4.674;8.565;22.009;30.534;13.444;6.950;14.763;21.657;7.813;0.001;0.288;0.312;0.287;0.621;0.254;0.565;Sat Sep 02 2017 18:32:25 GMT-0700 (PDT)
59ab5b0b6592220933cba933;magma;a;959;0.3;0.25;0.4;a;true;0;0.05;4.321;8.739;13.060;4.418;6.519;16.670;23.113;10.151;6.725;14.122;20.768;7.397;0.013;0.005;0.027;-0.008;0.413;0.565;0.609;Sat Sep 02 2017 18:32:26 GMT-0700 (PDT)
59ab5b0b6592220933cba933;magma;a;1205;0.55;0.15;0.75;b;false;1;0.20;36.045;20.543;56.589;15.502;61.499;47.502;96.965;13.997;52.571;27.858;72.306;24.713;0.935;0.852;1.000;0.083;0.260;0.332;0.335;Sat Sep 02 2017 18:32:28 GMT-0700 (PDT)
59ab5b0b6592220933cba933;magma;a;896;0.3;0.2;0.5;a;true;0;0.10;9.104;17.740;26.844;8.636;12.419;38.598;49.115;26.179;13.909;28.741;41.805;14.832;0.051;0.323;0.372;0.272;0.326;0.254;0.609;Sat Sep 02 2017 18:32:28 GMT-0700 (PDT)
59ab5b0b6592220933cba933;magma;a;1720;0.2;0.15;0.3;a;true;0;0.05;5.159;9.104;14.263;3.945;16.682;12.419;24.743;-4.263;7.293;13.909;20.264;6.616;0.223;0.051;0.415;-0.172;0.260;0.609;0.326;Sat Sep 02 2017 18:32:30 GMT-0700 (PDT)
59ab5b0b6592220933cba933;magma;a;958;0.9;0.8;0.95;b;false;1;0.05;11.719;6.194;17.913;5.525;25.057;12.398;37.379;12.659;14.684;7.368;22.033;7.316;0.241;0.155;0.579;0.086;0.404;0.247;0.288;Sat Sep 02 2017 18:32:31 GMT-0700 (PDT)
59ab5b0b6592220933cba933;magma;a;901;0.6;0.55;0.7;a;true;0;0.05;4.738;10.184;14.923;5.446;14.073;25.173;38.279;11.100;7.423;14.282;21.204;6.859;0.056;0.487;0.639;0.431;0.335;0.316;0.381;Sat Sep 02 2017 18:32:32 GMT-0700 (PDT)
59ab5b0b6592220933cba933;magma;b;2885;0.8;0.6;0.9;b;true;0;0.10;20.900;11.719;32.619;9.181;43.995;25.057;64.143;18.938;27.395;14.684;40.920;12.711;0.824;0.241;0.909;0.583;0.381;0.288;0.404;Sat Sep 02 2017 18:32:35 GMT-0700 (PDT)
59ab5b0b6592220933cba933;magma;a;1178;0.6;0.5;0.8;a;true;0;0.10;8.781;20.900;29.681;12.119;25.579;43.995;63.166;18.416;13.946;27.395;38.615;13.449;0.421;0.824;0.941;0.403;0.254;0.404;0.381;Sat Sep 02 2017 18:32:36 GMT-0700 (PDT)
59ab5b0b6592220933cba933;magma;a;815;0.6;0.5;0.65;b;false;1;0.05;8.781;4.903;13.684;3.878;25.579;13.518;38.617;12.061;13.946;7.216;20.827;6.730;0.421;0.268;0.683;0.153;0.254;0.321;0.381;Sat Sep 02 2017 18:32:37 GMT-0700 (PDT)
59ab5b0b6592220933cba933;magma;b;1499;0.2;0.1;0.25;b;true;0;0.05;11.065;4.783;15.848;6.282;34.655;7.168;40.161;27.487;14.222;7.313;20.367;6.909;0.657;0.015;0.777;0.642;0.353;0.413;0.326;Sat Sep 02 2017 18:32:38 GMT-0700 (PDT)
59ab5b0b6592220933cba933;magma;b;1520;0.5;0.4;0.55;b;true;0;0.05;9.000;4.042;13.043;4.958;22.009;11.551;33.531;10.458;14.763;6.572;21.277;8.191;0.288;0.246;0.847;0.042;0.565;0.335;0.254;Sat Sep 02 2017 18:32:40 GMT-0700 (PDT)
59ab5b0b6592220933cba933;magma;a;2301;0.7;0.5;0.8;b;false;1;0.10;18.965;10.715;29.681;8.250;49.085;22.893;63.166;26.192;27.247;14.102;38.615;13.145;0.804;0.314;0.941;0.490;0.254;0.404;0.316;Sat Sep 02 2017 18:32:42 GMT-0700 (PDT)
59ab5b0b6592220933cba933;magma;a;1014;0.4;0.3;0.45;b;false;1;0.05;8.739;4.420;13.159;4.319;16.670;10.314;26.946;6.356;14.122;7.315;21.377;6.807;0.005;0.031;0.050;-0.026;0.609;0.356;0.565;Sat Sep 02 2017 18:32:43 GMT-0700 (PDT)
59ab5b0b6592220933cba933;magma;a;2409;0.45;0.05;0.65;b;false;1;0.20;37.910;18.264;56.174;19.646;63.018;50.053;86.095;12.965;47.996;27.996;69.600;20.000;0.968;0.928;1.000;0.040;0.612;0.321;0.356;Sat Sep 02 2017 18:32:46 GMT-0700 (PDT)
59ab5b0b6592220933cba933;magma;a;781;0.4;0.2;0.8;a;true;0;0.20;17.843;38.681;56.524;20.838;27.857;81.533;104.435;53.676;27.658;50.530;72.102;22.872;0.067;0.999;1.000;0.932;0.326;0.404;0.565;Sat Sep 02 2017 18:32:46 GMT-0700 (PDT)
59ab5b0b6592220933cba933;magma;a;774;0.5;0.3;0.9;a;true;0;0.20;17.740;41.400;59.139;23.660;38.598;77.749;105.522;39.151;28.741;50.538;70.717;21.797;0.323;0.962;1.000;0.639;0.609;0.288;0.254;Sat Sep 02 2017 18:32:47 GMT-0700 (PDT)
59ab5b0b6592220933cba933;magma;b;1555;0.5;0.3;0.6;b;true;0;0.10;17.740;8.781;26.520;8.959;38.598;25.579;63.934;13.019;28.741;13.946;42.141;14.795;0.323;0.421;0.985;-0.098;0.609;0.381;0.254;Sat Sep 02 2017 18:32:49 GMT-0700 (PDT)
59ab5b0b6592220933cba933;magma;b;882;0.4;0;0.6;b;true;0;0.20;35.414;17.781;53.196;17.633;67.528;47.467;81.391;20.061;47.759;28.493;68.724;19.266;1.000;0.969;1.000;0.031;0.844;0.381;0.565;Sat Sep 02 2017 18:32:50 GMT-0700 (PDT)
59ab5b0b6592220933cba933;magma;b;901;0.8;0.7;0.85;b;true;0;0.05;10.715;5.694;16.409;5.021;22.893;12.634;35.097;10.259;14.102;7.346;21.338;6.756;0.314;0.058;0.497;0.256;0.316;0.352;0.404;Sat Sep 02 2017 18:32:51 GMT-0700 (PDT)
59ab5b0b6592220933cba933;plasma;a;2183;0.2;0.1;0.25;b;false;1;0.05;6.677;3.406;10.084;3.271;10.684;6.937;16.951;3.747;13.661;7.086;20.626;6.575;0.464;0.001;0.487;0.463;0.346;0.650;0.609;Sat Sep 02 2017 18:32:54 GMT-0700 (PDT)
